Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,065070,1994,null,null,null,null,null,4.0,51.0,15.0,8.8,20.0,46.8,20.2,null
IDCJAC0001,065070,1995,191.0,7.0,null,0.6,102.2,13.0,31.2,0.4,52.0,24.4,94.8,58.0,null
IDCJAC0001,065070,1996,97.2,30.2,20.6,0.2,74.2,null,null,null,null,null,null,null,null
IDCJAC0001,065070,1997,null,null,null,null,null,17.2,23.2,13.8,78.2,30.8,11.4,37.2,null
IDCJAC0001,065070,1998,48.0,31.0,10.0,84.4,75.4,82.4,138.0,151.6,111.6,46.4,66.6,5.6,851.0
IDCJAC0001,065070,1999,7.4,9.0,142.2,38.6,8.6,36.6,45.0,75.6,40.2,109.2,68.8,77.2,658.4
IDCJAC0001,065070,2000,35.0,25.6,173.8,105.8,86.8,18.4,28.4,29.4,11.6,77.4,181.8,35.0,809.0
IDCJAC0001,065070,2001,60.2,14.6,77.8,44.8,43.4,59.4,92.0,19.6,31.0,69.0,74.4,25.0,611.2
IDCJAC0001,065070,2002,13.2,218.2,27.0,17.4,17.2,14.6,4.0,2.8,42.8,3.0,0.0,21.6,381.8
IDCJAC0001,065070,2003,41.2,77.4,18.8,60.0,4.2,52.2,37.0,115.4,8.6,67.0,35.8,26.2,543.8
IDCJAC0001,065070,2004,23.6,45.6,13.2,22.0,46.8,44.4,38.2,30.4,10.2,50.6,79.4,65.0,469.4
IDCJAC0001,065070,2005,36.0,25.6,15.0,9.6,5.0,91.0,29.4,18.8,81.8,112.0,92.6,15.2,532.0
IDCJAC0001,065070,2006,37.4,29.0,24.0,10.8,0.6,35.0,39.2,14.4,9.2,1.2,10.6,17.2,228.6
IDCJAC0001,065070,2007,11.6,24.6,48.2,26.6,61.6,122.0,11.2,20.2,0.6,2.6,67.4,169.4,566.0
IDCJAC0001,065070,2008,153.2,43.2,27.4,1.4,7.2,32.0,31.0,33.6,63.8,58.6,110.0,49.2,610.6
IDCJAC0001,065070,2009,3.8,59.0,16.2,57.2,10.0,67.4,25.0,10.0,35.2,54.0,12.8,188.8,539.4
IDCJAC0001,065070,2010,25.6,null,69.6,62.2,54.6,34.2,64.4,58.4,51.8,54.0,144.0,167.6,null
IDCJAC0001,065070,2011,8.6,37.8,49.4,28.4,60.0,11.2,8.4,59.8,81.8,55.4,101.6,74.8,577.2
IDCJAC0001,065070,2012,98.0,118.0,125.0,1.6,85.4,41.6,44.6,9.8,31.6,9.4,38.2,5.4,608.6
IDCJAC0001,065070,2013,63.4,27.8,80.8,0.4,27.0,126.0,23.2,5.4,83.2,5.2,3.0,47.6,493.0
IDCJAC0001,065070,2014,49.8,50.8,142.4,57.8,26.8,57.6,55.6,15.4,15.6,11.6,11.2,77.0,571.6
IDCJAC0001,065070,2015,130.6,31.8,8.4,81.8,47.8,72.2,60.2,39.4,6.8,46.4,66.6,59.6,651.6
IDCJAC0001,065070,2016,122.8,3.2,16.2,25.0,55.4,151.6,105.2,50.4,157.8,56.2,34.0,138.6,916.4
IDCJAC0001,065070,2017,14.8,1.6,223.0,9.4,5.2,9.2,3.0,20.6,5.0,84.6,34.8,54.2,465.4
IDCJAC0001,065070,2018,28.6,2.4,4.0,6.8,13.0,18.6,1.6,36.4,6.8,90.4,68.6,34.4,311.6
IDCJAC0001,065070,2019,64.4,18.4,46.8,0.0,23.4,10.4,6.4,6.8,11.0,1.6,19.4,2.6,211.2
IDCJAC0001,065070,2020,36.0,81.8,145.0,null,28.8,32.6,82.2,39.0,47.6,60.6,12.6,120.6,null
IDCJAC0001,065070,2021,54.0,114.4,187.2,1.8,21.0,93.8,91.8,34.0,36.8,35.4,180.8,73.4,924.4
IDCJAC0001,065070,2022,130.0,41.0,56.4,191.2,75.8,12.8,58.6,112.2,104.8,195.8,43.8,6.4,1028.8
IDCJAC0001,065070,2023,50.6,53.4,20.8,45.0,1.6,40.6,38.2,10.0,2.6,22.6,73.4,67.0,425.8
